record_id,hazard
2018099623.0,"scaffold section became caught, causing loss of balance"
2018076762.0,fell from the ladder
2023054762.0,lost their footing
2015063530.0,fell while descending
2016032268.0,fell to the ground
2024032167.0,"leaned onto overhead crane remote, causing motor to fall"
2023010946.0,bolt broke loose
2025032882.0,piping broke
2017076862.0,missed a step
2018077715.0,ladder slipped
2016043378.0,"saw became caught, blade struck arm on release"
20191212409.0,lost balance
2022065319.0,ladder became dislodged
2022065443.0,lost balance and fell face down
2020109935.0,lost their footing
2025021614.0,contacted a live electrical box
2022043109.0,slipped
2019054713.0,missed the rung
2019088090.0,"lost balance, hand caught in conveyor"
20191111808.0,received an electric shock
2019088787.0,fell off the ladder
2017109853.0,foot crushed between vessels
20191212881.0,fell moving from roof to ladder
2024032086.0,lost his balance
2017021016.0,fell while descending
20241211715.0,ladder kicked out
2021076028.0,fell onto concrete
2018021981.0,fell while descending
2021054310.0,ladder shifted
2016076386.0,right foot slipped
20201110755.0,fell from the ladder
2015107659.0,missed a step
2025010412.0,fell to the floor
2015118464.0,fell to the ground
2022098476.0,fell from the ladder
2015118471.0,slipped on wet planks
2016032156.0,slipped while descending
2025021109.0,slipped on bottom step
20201010029.0,ladder shifted
20181212816.0,slipped transitioning to roof
2018010057.0,"scaffold shifted, ladder moved"
2015020266.0,missed a rung
2015118355.0,ladder slipped out
20181111827.0,ladder slipped out
2024087597.0,slipped off the ladder
2018066564.0,ladder slipped out
2020043183.0,ladder slipped
2018054787.0,ladder slipped
2018087859.0,slipped on bottom rung
2016042835.0,slipped and fell
20211211044.0,lost footing
2025054419.0,slipped off the rung
2020099271.0,slipped
20241110868.0,ladder slid from its position
2018054811.0,employee slipped
2025010493.0,fell to the ground
2015010682.0,employee slipped
2020054512.0,fell about halfway down
2024087295.0,fell 8-9 feet
2023021805.0,roof hatch cover struck the employee
2022065403.0,fell while pushing boxes
2022076356.0,slipped stepping to platform
2022054096.0,fell while carrying paint
2017099136.0,hand slipped
2015118354.0,communication strand broke
2025032153.0,fell from a ladder
2020099143.0,A-frame ladder shifted
2025043868.0,fell from the ladder
20211211023.0,fell from the ladder
2024010058.0,fell off a ladder
2022065122.0,collapsed (heat-related)
2019099225.0,foot slipped
2024043095.0,ladder slipped on unstable surface
2015010981.0,lost his balance
2016076742.0,lost his grip
2015031162.0,missed the bottom rung
2025066047.0,hand rail became dislodged
2021119585.0,fell off the bottom step
2022021429.0,ladder broke
2023010401.0,steam and hot water contacted employee
2024021237.0,wrench slipped
2015085670.0,telephone cable broke
2018010938.0,"car drove over wire, wire tangled and pulled employee"
2018021568.0,"cable tension released, lost balance"
2018055260.0,wire struck the employee
2021054161.0,ladder slipped out
2016043477.0,stepped on a drill bit
2024032154.0,experienced an electrical shock
2023065728.0,wrench slipped
2015129162.0,fell from the ladder
2023087246.0,fell to the driveway
2016098687.0,finger caught between ladder and boot
2025010921.0,ladder gave out
20241110803.0,fell onto step ladder then floor
20161111088.0,wrench slipped off the bolt
2020010502.0,hand slipped reaching for rung
2017099081.0,fell descending
2020021146.0,finger caught in fan belt
2021031936.0,ladder slid out
2025066267.0,ladder slipped out
