record_id,object
2018099623.0,ladder
2018099623.0,scaffold section
2018076762.0,step ladder
2023054762.0,fixed ladder
2015063530.0,ladder
2016032268.0,ladder
2024032167.0,ladder
2024032167.0,overhead crane remote
2024032167.0,motor
2023010946.0,rolling step lock ladder
2023010946.0,box wrench
2025032882.0,ladder
2025032882.0,fire sprinkler piping
2017076862.0,ladder
2017076862.0,trailer door
2018077715.0,extension ladder
2016043378.0,ladder
2016043378.0,manual pole saw
20191212409.0,extendable ladder
20191212409.0,electric nipper
2022065319.0,ladder
2022065443.0,A-frame ladder
2020109935.0,ladder
2025021614.0,fiberglass ladder
2025021614.0,electrical box
2025021614.0,cable
2022043109.0,access ladder
2022043109.0,aerial lift
2019054713.0,ladder
2019054713.0,downspout
2019088090.0,extension ladder
2019088090.0,conveyor belt
2019088090.0,hose
20191111808.0,step ladder
20191111808.0,LED light fixture
2019088787.0,ladder
2019088787.0,nut and bolt
2017109853.0,pigeon hole ladder
20191212881.0,ladder
2024032086.0,A-frame ladder
2017021016.0,ladder
20241211715.0,ladder
2021076028.0,fiberglass ladder
2021076028.0,drill
2018021981.0,fixed ladder
2021054310.0,mobile ladder
2021054310.0,speaker wire
2016076386.0,fixed ladder
20201110755.0,ladder
20201110755.0,cable line
2015107659.0,ladder
2025010412.0,step ladder
2025010412.0,Christmas tree lights
2015118464.0,A-frame ladder
2015118464.0,vent cover
2022098476.0,ladder
2015118471.0,scaffold
2015118471.0,fixed ladder
2016032156.0,straight ladder
2025021109.0,ladder
2025021109.0,stock cart
20201010029.0,ladder
20201010029.0,insulated foam board
20181212816.0,ladder
20181212816.0,metal roof
2018010057.0,carpenter bracket scaffold
2018010057.0,ladder
2015020266.0,ladder
2015020266.0,decorations
2015118355.0,ladder
2015118355.0,crane spreader bar
20181111827.0,ladder
2024087597.0,ladder
2018066564.0,extension ladder
2018066564.0,dolly
2020043183.0,ladder
2020043183.0,spout
2018054787.0,A-frame ladder
2018054787.0,nuts and bolts
2018087859.0,ladder
2018087859.0,front-end loader
2016042835.0,fixed industrial ladder
2016042835.0,boiler
20211211044.0,ladder
20211211044.0,boiler alarm
2025054419.0,fixed ladder
2020099271.0,interior ladder
20241110868.0,ladder
20241110868.0,roof hatch
2018054811.0,roof hatch ladder
2025010493.0,fixed ladder
2015010682.0,fixed ladder
2015010682.0,roof ladder
2020054512.0,roof access hatch ladder
2024087295.0,extension ladder
2023021805.0,ladder
2023021805.0,roof hatch cover
2022065403.0,two-step ladder
2022065403.0,boxes
2022076356.0,ladder
2022076356.0,elevated work platform
2022054096.0,ladder
2022054096.0,bucket of paint
2017099136.0,structural ladder
2015118354.0,ladder
2015118354.0,communication strand
2025032153.0,ladder
2025032153.0,conduit
2020099143.0,A-frame ladder
2020099143.0,insulation
2025043868.0,ladder
20211211023.0,ladder
20211211023.0,window
20211211023.0,racking
2024010058.0,ladder
2024010058.0,tanker truck
2022065122.0,extension ladder
2022065122.0,bucket truck
2019099225.0,fixed ladder
2019099225.0,tarp
2019099225.0,catwalk
2024043095.0,ladder
2015010981.0,ladder/staircase
2016076742.0,railcar ladder
2015031162.0,ladder
2015031162.0,C-130 aircraft
2025066047.0,fixed ladder
2025066047.0,hand rail
2021119585.0,rolling platform ladder
2021119585.0,plastic tube
2022021429.0,ladder
2023010401.0,ladder
2023010401.0,boiler
2023010401.0,manhole cover
2024021237.0,ladder
2024021237.0,pipe wrench
2015085670.0,ladder
2015085670.0,telephone cable
2015085670.0,telephone pole
2018010938.0,ladder
2018010938.0,aerial service wire
2018010938.0,car
2018021568.0,ladder
2018021568.0,cable
2018021568.0,delivery truck
2018055260.0,extension ladder
2018055260.0,wire
2021054161.0,ladder
2021054161.0,network cable
2021054161.0,crown molding
2016043477.0,ladder
2016043477.0,electric power drill
2024032154.0,ladder
2024032154.0,conduit wire
2023065728.0,ladder
2023065728.0,wrench
2023065728.0,pipe
2015129162.0,stepladder
2015129162.0,hammer drill
2023087246.0,extension ladder
2016098687.0,industrial ladder
2025010921.0,ladder
20241110803.0,scaffold ladder
20241110803.0,step ladder
20161111088.0,ladder
20161111088.0,wrench
20161111088.0,bolt
2020010502.0,extension ladder
2020010502.0,bucket
2017099081.0,step ladder
2017099081.0,paint can
2017099081.0,paint brush
2020021146.0,step ladder
2020021146.0,exhaust fan
2021031936.0,extension ladder
2025066267.0,extension ladder
