record_id,task
2018099623.0,erecting scaffold while carrying scaffold section up ladder
2018076762.0,pulling a box of sanitizers from a shelf 8 feet above floor
2023054762.0,accessing dust collector on silo
2015063530.0,installing solar panels on residential roof
2016032268.0,disconnecting a hose from a trailer
2024032167.0,obtaining measurement reading from dial indicator on motor
2023010946.0,removing a bolt from a sprocket using a box wrench
2025032882.0,making repairs to fire sprinkler system piping
2017076862.0,closing/pulling down trailer door while descending truck
2018077715.0,checking an air conditioning vent
2016043378.0,cutting tree limb with manual pole saw
20191212409.0,trimming flashing around drip edge with electric nipper
2022065319.0,nailing a curtain on a chicken house
2022065443.0,observing demolition work crew activity from roof
2020109935.0,cleaning a grain barge
2025021614.0,running cable through a floor box
2022043109.0,trimming tree branches from aerial lift basket
2019054713.0,installing a downspout
2019088090.0,spraying overhead conveyor with hose
20191111808.0,wiring an LED light fixture
2019088787.0,installing a nut and bolt overhead
2017109853.0,transferring between vessels using pigeon hole ladder
20191212881.0,installing gutters on residential roof
2024032086.0,accessing drop ceiling
2017021016.0,descending from roof of residence
20241211715.0,ascending ladder
2021076028.0,installing fascia with a drill
2018021981.0,accessing cooling tower
2021054310.0,installing speaker wire
2016076386.0,descending from truck
20201110755.0,replacing a cable line at a customer's home
2015107659.0,descending ladder in retail store
2025010412.0,removing lights from a Christmas tree
2015118464.0,replacing a vent cover
2022098476.0,climbing down from roof
2015118471.0,walking on scaffold toward fixed ladder
2016032156.0,cleaning a horizontal coater
2025021109.0,descending ladder on stock cart
20201010029.0,installing insulated foam board
20181212816.0,transitioning from ladder to metal roof
2018010057.0,descending from carpenter bracket scaffold
2015020266.0,putting up decorations for an upcoming event
2015118355.0,working on out-of-service crane using ladder positioned on spreader bar
20181111827.0,climbing ladder
2024087597.0,painting
2018066564.0,retrieving a dolly from a box stored on a mezzanine
2020043183.0,fixing a hole in a spout
2018054787.0,putting nuts and washers on bolts
2018087859.0,climbing down from front-end loader
2016042835.0,not specified
20211211044.0,resetting a boiler alarm
2025054419.0,climbing fixed ladder to access roof
2020099271.0,climbing interior ladder to access rooftop
20241110868.0,climbing ladder through roof hatch to assess HVAC unit on roof
2018054811.0,ascending roof hatch ladder
2025010493.0,descending from roof of department store
2015010682.0,accessing roof ladder via fixed ladder
2020054512.0,climbing down from roof access hatch
2024087295.0,accessing roof of second floor
2023021805.0,climbing down from roof via ladder through roof hatch
2022065403.0,pushing boxes and gathering supplies
2022076356.0,stepping from ladder to elevated work platform
2022054096.0,carrying paint bucket up ladder to third floor
2017099136.0,climbing structural ladder to access first landing of building
2015118354.0,climbing ladder placed on communication strands
2025032153.0,looking for route in ceiling to run new electrical conduit
2020099143.0,installing insulation
2025043868.0,investigating a noise
20211211023.0,pulling a window from second level of racking
2024010058.0,accessing tanker truck
2022065122.0,loading 24-foot extension ladder onto bucket truck
2019099225.0,adjusting a tarp on a trailer
2024043095.0,climbing ladder to access roof
2015010981.0,retrieving owner's manual from operator's cab on spreader
2016076742.0,closing and sealing top covers on railcars filled with grain
2015031162.0,inspecting C-130 aircraft
2025066047.0,fixing rooftop air conditioning unit
2021119585.0,removing plastic tube from surge tank
2022021429.0,inspecting residential roofing system
2023010401.0,removing manhole cover from boiler
2024021237.0,tightening a pipe joint with a pipe wrench
2015085670.0,conducting telephone cable maintenance on pole
2018010938.0,connecting aerial service wire to residence
2018021568.0,freeing caught cable from delivery truck
2018055260.0,cutting old wire off a pole
2021054161.0,pulling network cable through open ceiling to wire security camera
2016043477.0,installing cable and telephone wire
2024032154.0,installing conduit wire above grid ceiling
2023065728.0,turning a wrench on a tight pipe
2015129162.0,installing an exterior light on the side of a building using a hammer drill
2023087246.0,not specified
2016098687.0,sliding industrial ladder off a truck
2025010921.0,not specified
20241110803.0,descending scaffold ladder
20161111088.0,removing a bolt with a wrench
2020010502.0,traversing from ladder to roof with 5-gallon bucket
2017099081.0,priming bolts in a stairwell
2020021146.0,changing belts on exhaust fan for preventative maintenance
2021031936.0,not specified
2025066267.0,inspecting roof damage
